pos,team,pld,pts
1,INTER,38,84
2,JUVENTUS,38,74
3,MILAN,38,74
4,FIORENTINA,38,68
5,GENOA,38,68
6,ROMA,38,63
7,UDINESE,38,58
8,PALERMO,38,57
9,CAGLIARI,38,53
10,LAZIO,38,50
11,ATALANTA,38,47
12,NAPOLI,38,46
13,SAMPDORIA,38,46
14,ROBUR SIENA,38,44
15,CATANIA,38,43
16,CHIEVOVERONA,38,38
17,BOLOGNA,38,37
18,TORINO,38,34
19,REGGINA,38,31
20,LECCE,38,30
