pos,team,pld,pts
1,JUVENTUS,38,90
2,NAPOLI,38,79
3,ATALANTA,38,69
4,INTER,38,69
5,MILAN,38,68
6,ROMA,38,66
7,TORINO,38,63
8,LAZIO,38,59
9,SAMPDORIA,38,53
10,BOLOGNA,38,44
11,SASSUOLO,38,43
12,UDINESE,38,43
13,SPAL,38,42
14,PARMA,38,41
15,CAGLIARI,38,41
16,FIORENTINA,38,41
17,GENOA,38,38
18,EMPOLI,38,38
19,FROSINONE,38,25
20,CHIEVOVERONA,38,17
