pos,team,pld,pts
1,MILAN,34,56
2,JUVENTUS,34,48
3,TORINO,34,43
4,NAPOLI,34,42
5,ROMA,34,40
6,SAMPDORIA,34,38
7,PARMA,34,38
8,INTER,34,37
9,FOGGIA,34,35
10,LAZIO,34,34
11,ATALANTA,34,34
12,FIORENTINA,34,32
13,CAGLIARI,34,29
14,GENOA,34,29
15,BARI,34,22
16,HELLAS VERONA,34,21
17,CREMONESE,34,20
18,ASCOLI,34,14
