pos,team,pld,pts
1,LAZIO,34,72
2,JUVENTUS,34,71
3,MILAN,34,61
4,INTER,34,58
5,PARMA,34,58
6,ROMA,34,54
7,FIORENTINA,34,51
8,UDINESE,34,50
9,HELLAS VERONA,34,43
10,PERUGIA,34,42
11,BOLOGNA,34,40
12,REGGINA,34,40
13,LECCE,34,40
14,BARI,34,39
15,TORINO,34,36
16,VENEZIA,34,26
17,CAGLIARI,34,22
18,PIACENZA,34,21
