Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,26,8,4,67:27,40,86
2 ,AC Milan,38,23,10,5,63:28,35,79
3 ,Inter,38,18,18,2,65:37,28,72
4 ,Udinese,38,17,11,10,56:40,16,62
5 ,Sampdoria,38,17,10,11,42:29,13,61
6 ,US Palermo,38,12,17,9,48:44,4,53
7 ,Messina Peloro,38,12,12,14,44:52,-8,48
8 ,AS Roma,38,11,12,15,55:58,-3,45
9 ,AS Livorno,38,11,12,15,49:60,-11,45
10 ,Reggina,38,10,14,14,36:45,-9,44
11 ,Lecce,38,10,14,14,66:73,-7,44
12 ,Cagliari Calcio,38,10,14,14,51:60,-9,44
13 ,Lazio,38,11,11,16,48:53,-5,44
14 ,Siena,38,9,16,13,44:55,-11,43
15 ,Chievo Verona,38,11,10,17,32:49,-17,43
16 ,Fiorentina,38,9,15,14,42:50,-8,42
17 ,Bologna,38,9,15,14,33:36,-3,42
18 ,Parma,38,10,12,16,48:65,-17,42
19 ,Brescia,38,11,8,19,37:54,-17,41
20 ,Atalanta,38,8,11,19,34:45,-11,35
