Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,21,9,4,64:29,35,72
2 ,Inter,34,19,8,7,64:38,26,65
3 ,Milan,34,18,7,9,55:30,25,61
4 ,Lazio,34,15,15,4,57:32,25,60
5 ,AC Parma,34,15,11,8,55:36,19,56
6 ,Udinese,34,16,8,10,38:35,3,56
7 ,Chievo Verona,34,16,7,11,51:39,12,55
8 ,AS Roma,34,13,10,11,55:46,9,49
9 ,Brescia,34,9,15,10,36:38,-2,42
10 ,Perugia,34,10,12,12,40:48,-8,42
11 ,Bologna,34,10,11,13,39:47,-8,41
12 ,Modena,34,9,11,14,30:48,-18,38
13 ,FC Empoli,34,9,11,14,36:46,-10,38
14 ,Atalanta,34,8,14,12,35:47,-12,38
15 ,Reggina,34,10,8,16,38:53,-15,38
16 ,Piacenza,34,8,6,20,44:62,-18,30
17 ,Como,34,4,12,18,29:57,-28,24
18 ,Torino,34,4,9,21,23:58,-35,21
