Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,30,17,11,2,43:14,29,45:15
2 ,SSC Napoli,30,18,6,6,55:27,28,42:18
3 ,AS Roma,30,15,8,7,39:26,13,38:22
4 ,Sampdoria,30,13,11,6,41:30,11,37:23
5 ,Inter,30,11,10,9,42:35,7,32:28
6 ,Juventus,30,11,9,10,35:30,5,31:29
7 ,Torino,30,8,15,7,33:30,3,31:29
8 ,Fiorentina,30,9,10,11,29:33,-4,28:32
9 ,Cesena,30,7,12,11,23:32,-9,26:34
10 ,Como,30,6,13,11,22:37,-15,25:35
11 ,Hellas Verona,30,7,11,12,23:30,-7,25:35
12 ,Ascoli,30,6,12,12,30:37,-7,24:36
13 ,AC Pisa,30,6,12,12,23:30,-7,24:36
14 ,Pescara,30,8,8,14,27:44,-17,24:36
15 ,Avellino,30,5,13,12,19:39,-20,23:37
16 ,FC Empoli,30,6,13,11,20:30,-10,20:30
