Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Torino,30,18,9,3,49:22,27,45:15
2 ,Juventus,30,18,7,5,46:26,20,43:17
3 ,Milan,30,15,8,7,42:28,14,38:22
4 ,Inter,30,14,9,7,36:28,8,37:23
5 ,SSC Napoli,30,13,10,7,40:27,13,36:24
6 ,Bologna,30,9,14,7,32:32,0,32:28
7 ,Cesena,30,9,14,7,39:35,4,32:28
8 ,Perugia,30,10,11,9,31:34,-3,31:29
9 ,Fiorentina,30,9,9,12,39:39,0,27:33
10 ,AS Roma,30,6,13,11,25:31,-6,25:35
11 ,Hellas Verona,30,8,8,14,35:46,-11,24:36
12 ,Sampdoria,30,8,8,14,21:32,-11,24:36
13 ,Lazio,30,6,11,13,35:40,-5,23:37
14 ,Ascoli,30,4,15,11,19:34,-15,23:37
15 ,Como,30,5,11,14,28:36,-8,21:39
16 ,Cagliari Calcio,30,5,9,16,25:52,-27,19:41
