Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,19,9,6,46:24,22,47:21
2 ,Juventus,34,18,9,7,73:40,33,45:23
3 ,AC Milan,34,17,9,8,64:34,30,43:25
4 ,Napoli,34,15,11,8,53:43,10,41:27
5 ,Bologna,34,16,7,11,52:43,9,39:29
6 ,AS Roma,34,13,10,11,50:44,6,36:32
7 ,Fiorentina,34,11,11,12,31:47,-16,33:35
8 ,SPAL,34,8,16,10,40:37,3,32:36
9 ,Atalanta,34,10,12,12,52:53,-1,32:36
10 ,Udinese,34,10,11,13,42:55,-13,31:37
11 ,Novara,34,11,9,14,43:52,-9,31:37
12 ,Lazio,34,12,7,15,38:44,-6,31:37
13 ,AC Torino,34,11,9,14,47:50,-3,31:37
14 ,Sampdoria,34,9,13,12,37:43,-6,31:37
15 ,Triestina,34,10,10,14,47:54,-7,30:38
16 ,Palermo,34,10,10,14,43:56,-13,30:38
17 ,Como,34,11,5,18,32:44,-12,27:41
18 ,Pro Patria,34,7,8,19,40:67,-27,22:46
