Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,18,8,4,45:22,23,44:16
2 ,Ambrosiana-Inter,30,15,12,3,58:24,34,42:18
3 ,Fiorentina,30,15,9,6,39:23,16,39:21
4 ,AS Roma,30,14,7,9,63:38,25,35:25
5 ,Lazio,30,13,6,11,55:46,9,32:28
6 ,Bologna,30,11,8,11,46:34,12,30:30
7 ,Alessandria,30,12,5,13,44:48,-4,29:31
8 ,Palermo,30,9,11,10,27:34,-7,29:31
9 ,Napoli,30,10,9,11,39:38,1,29:31
10 ,Triestina,30,11,5,14,33:44,-11,27:33
11 ,Brescia,30,10,7,13,29:45,-16,27:33
12 ,Milan,30,8,11,11,36:38,-2,27:33
13 ,Sampierdarenese,30,9,8,13,29:42,-13,26:34
14 ,Torino,30,8,9,13,37:45,-8,25:35
15 ,Livorno,30,8,8,14,28:54,-26,24:36
16 ,Pro Vercelli,30,5,5,20,21:54,-33,15:45
