Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Bologna,30,16,7,7,60:37,23,39:21
2 ,Ambrosiana-Inter,30,14,7,9,52:42,10,35:25
3 ,Milano,30,12,10,8,55:34,21,34:26
4 ,Fiorentina,30,14,6,10,60:49,11,34:26
5 ,Juventus,30,12,8,10,50:47,3,32:28
6 ,Atalanta,30,11,9,10,45:38,7,31:29
7 ,AC Torino,30,11,8,11,54:50,4,30:30
8 ,Napoli,30,11,8,11,41:48,-7,30:30
9 ,Triestina,30,9,11,10,43:39,4,29:31
10 ,AS Roma,30,9,11,10,48:46,2,29:31
11 ,Genova,30,10,9,11,46:44,2,29:31
12 ,AC Venezia,30,8,13,9,39:44,-5,29:31
13 ,Livorno,30,9,10,11,40:51,-11,28:32
14 ,Lazio,30,7,13,10,38:42,-4,27:33
15 ,Novara,30,8,11,11,31:38,-7,27:33
16 ,Bari,30,5,7,18,31:84,-53,17:43
