Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Torino,38,25,10,3,78:34,44,60:16
2 ,Inter,38,22,11,5,85:39,46,55:21
3 ,AC Milan,38,21,8,9,83:52,31,50:26
4 ,Juventus,38,18,8,12,64:47,17,44:32
5 ,Sampdoria,38,16,9,13,74:63,11,41:35
6 ,Bologna,38,12,17,9,53:46,7,41:35
7 ,Genoa,38,14,12,12,51:51,0,40:36
8 ,Lucchese,38,14,10,14,55:55,0,38:38
9 ,Triestina,38,13,12,13,59:59,0,38:38
10 ,Fiorentina,38,15,8,15,51:60,-9,38:38
11 ,Palermo,38,14,8,16,57:58,-1,36:40
12 ,Padova,38,12,12,14,45:64,-19,36:40
13 ,Lazio,38,11,12,15,60:62,-2,34:42
14 ,AS Roma,38,12,8,18,47:57,-10,32:44
15 ,Novara,38,12,7,19,52:74,-22,31:45
16 ,Atalanta,38,11,9,18,40:58,-18,31:45
17 ,Bari,38,10,10,18,30:50,-20,30:46
18 ,Pro Patria,38,11,8,19,51:61,-10,30:46
19 ,Modena,38,9,11,18,36:49,-13,29:47
20 ,Livorno,38,9,8,21,39:71,-32,26:50
