Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,20,11,3,64:23,41,71
2 ,AS Roma,34,19,13,2,58:24,34,70
3 ,Inter,34,20,9,5,62:35,27,69
4 ,Milan,34,14,13,7,47:33,14,55
5 ,Chievo Verona,34,14,12,8,57:52,5,54
6 ,Lazio,34,14,11,9,50:37,13,53
7 ,Bologna,34,15,7,12,40:40,0,52
8 ,Perugia,34,13,7,14,38:46,-8,46
9 ,Atalanta,34,12,9,13,41:50,-9,45
10 ,AC Parma,34,12,8,14,43:47,-4,44
11 ,Torino,34,10,13,11,37:39,-2,43
12 ,Piacenza,34,11,9,14,49:43,6,42
13 ,Brescia,34,9,13,12,43:52,-9,40
14 ,Udinese,34,11,7,16,41:52,-11,40
15 ,Hellas Verona,34,11,6,17,41:53,-12,39
16 ,Lecce,34,6,10,18,36:56,-20,28
17 ,Fiorentina,34,5,7,22,29:63,-34,22
18 ,AC Venezia 1907,34,3,9,22,30:61,-31,18
