Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,18,9,3,43:17,26,45:15
2 ,AS Roma,30,19,3,8,51:27,24,41:19
3 ,SSC Napoli,30,14,11,5,35:21,14,39:21
4 ,Torino,30,11,11,8,31:26,5,33:27
5 ,Fiorentina,30,10,13,7,29:23,6,33:27
6 ,Inter,30,12,8,10,36:33,3,32:28
7 ,Milan,30,10,11,9,26:24,2,31:29
8 ,Atalanta,30,7,15,8,27:26,1,29:31
9 ,Como,30,7,15,8,32:32,0,29:31
10 ,Hellas Verona,30,9,10,11,31:40,-9,28:32
11 ,Avellino,30,9,9,12,28:38,-10,27:33
12 ,Sampdoria,30,8,11,11,27:25,2,27:33
13 ,Udinese Calcio,30,6,13,11,31:37,-6,25:35
14 ,AC Pisa,30,5,13,12,27:40,-13,23:37
15 ,Bari,30,5,12,13,18:31,-13,22:38
16 ,Lecce,30,5,6,19,23:55,-32,16:44
