Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AS Roma,30,16,11,3,47:24,23,43:17
2 ,Juventus,30,15,9,6,49:26,23,39:21
3 ,Inter,30,12,14,4,40:23,17,38:22
4 ,Hellas Verona,30,11,13,6,37:31,6,35:25
5 ,Fiorentina,30,12,10,8,36:25,11,34:26
6 ,Udinese Calcio,30,6,20,4,25:29,-4,32:28
7 ,Sampdoria,30,8,15,7,31:30,1,31:29
8 ,Torino,30,9,12,9,30:28,2,30:30
9 ,Avellino,30,8,12,10,29:34,-5,28:32
10 ,SSC Napoli,30,7,14,9,22:29,-7,28:32
11 ,Genoa,30,6,15,9,34:38,-4,27:33
12 ,AC Pisa,30,8,11,11,27:27,0,27:33
13 ,Ascoli,30,9,9,12,32:37,-5,27:33
14 ,Cagliari Calcio,30,6,14,10,23:33,-10,26:34
15 ,Cesena,30,4,14,12,22:35,-13,22:38
16 ,Catanzaro,30,2,9,19,21:56,-35,13:47
