Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,38,30,7,1,80:34,46,97
2 ,AS Roma,38,22,9,7,74:34,40,75
3 ,Lazio,38,18,11,9,59:33,26,62
4 ,AC Milan,38,19,12,7,57:36,21,61
5 ,US Palermo,38,16,10,12,58:51,7,58
6 ,Fiorentina,38,21,10,7,62:31,31,58
7 ,FC Empoli,38,14,12,12,42:43,-1,54
8 ,Atalanta,38,12,14,12,56:54,2,50
9 ,Sampdoria,38,13,10,15,44:48,-4,49
10 ,Udinese,38,12,10,16,49:55,-6,46
11 ,AS Livorno,38,10,13,15,41:54,-13,43
12 ,Parma,38,10,12,16,41:56,-15,42
13 ,Catania,38,10,11,17,46:68,-22,41
14 ,Reggina,38,12,15,11,52:50,2,40
15 ,Siena,38,9,14,15,35:45,-10,40
16 ,Torino,38,10,10,18,27:47,-20,40
17 ,Cagliari Calcio,38,9,13,16,35:46,-11,40
18 ,Chievo Verona,38,9,12,17,38:48,-10,39
19 ,Ascoli,38,5,12,21,36:67,-31,27
20 ,Messina Peloro,38,5,11,22,37:69,-32,26
