Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,18,13,3,44:19,25,49:19
2 ,Inter,34,19,10,5,59:22,37,48:20
3 ,Bologna,34,18,9,7,48:27,21,45:23
4 ,SSC Napoli,34,17,10,7,46:23,23,44:24
5 ,Fiorentina,34,15,13,6,53:29,24,43:25
6 ,US Cagliari,34,13,14,7,35:17,18,40:28
7 ,AC Torino,34,10,18,6,33:26,7,38:30
8 ,Milan,34,11,15,8,36:32,4,37:31
9 ,Mantova,34,6,22,6,22:23,-1,34:34
10 ,AS Roma,34,11,11,12,35:39,-4,33:35
11 ,Atalanta,34,9,13,12,28:43,-15,31:37
12 ,SPAL,34,8,13,13,28:36,-8,29:39
13 ,Brescia,34,7,14,13,22:40,-18,28:40
14 ,Vicenza,34,7,14,13,26:39,-13,28:40
15 ,Lazio,34,6,15,13,20:35,-15,27:41
16 ,Foggia  Incedit,34,7,10,17,28:49,-21,24:44
17 ,Calcio Venezia,34,4,9,21,29:57,-28,17:51
18 ,Lecco,34,3,11,20,21:57,-36,17:51
