Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,23,5,2,50:20,30,51:9
2 ,AC Torino,30,21,8,1,51:14,37,50:10
3 ,Fiorentina,30,12,11,7,38:31,7,35:25
4 ,Inter,30,10,13,7,34:27,7,33:27
5 ,Lazio,30,10,11,9,34:28,6,31:29
6 ,Perugia,30,9,11,10,32:28,4,29:31
7 ,SSC Napoli,30,9,11,10,37:38,-1,28:30
8 ,Hellas Verona,30,7,14,9,26:32,-6,28:32
9 ,AS Roma,30,9,10,11,27:33,-6,28:32
10 ,Bologna,30,8,11,11,24:31,-7,27:33
11 ,Genoa,30,8,11,11,40:45,-5,27:33
12 ,Milan,30,5,17,8,30:33,-3,27:33
13 ,Foggia,30,10,6,14,33:39,-6,26:34
14 ,Sampdoria,30,6,12,12,28:42,-14,24:36
15 ,Catanzaro,30,7,7,16,26:43,-17,21:39
16 ,Cesena,30,3,8,19,22:48,-26,14:46
