Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Bologna,30,15,12,3,45:26,19,42:18
2 ,Lazio,30,17,5,8,56:42,14,39:21
3 ,AC Torino,30,13,12,5,50:25,25,38:22
4 ,Milano,30,13,10,7,39:29,10,36:24
5 ,Juventus,30,12,11,7,53:31,22,35:25
6 ,Genova,30,11,11,8,51:36,15,33:27
7 ,Lucchese,30,9,13,8,39:43,-4,31:29
8 ,Ambrosiana-Inter,30,9,13,8,43:35,8,31:29
9 ,Fiorentina,30,9,12,9,34:32,2,30:30
10 ,AS Roma,30,10,7,13,36:45,-9,27:33
11 ,Bari,30,9,9,12,35:45,-10,27:33
12 ,Triestina,30,7,12,11,29:36,-7,26:34
13 ,Napoli,30,8,8,14,31:39,-8,24:36
14 ,Sampierdarenese,30,6,10,14,32:46,-14,22:38
15 ,Novara,30,8,5,17,43:62,-19,21:39
16 ,Alessandria,30,8,2,20,23:67,-44,18:42
