Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AS Roma,34,22,9,3,68:33,35,75
2 ,Juventus,34,21,10,3,61:27,34,73
3 ,Lazio,34,21,6,7,65:36,29,69
4 ,AC Parma,34,16,8,10,51:31,20,56
5 ,Inter,34,14,9,11,47:47,0,51
6 ,Milan,34,12,13,9,56:46,10,49
7 ,Atalanta,34,10,14,10,38:34,4,44
8 ,Brescia,34,10,14,10,44:42,2,44
9 ,Fiorentina,34,10,13,11,53:52,1,43
10 ,Bologna,34,11,10,13,49:53,-4,43
11 ,Perugia,34,10,12,12,49:53,-4,42
12 ,Udinese,34,11,5,18,49:59,-10,38
13 ,Lecce,34,8,13,13,40:54,-14,37
14 ,Reggina,34,10,7,17,32:49,-17,37
15 ,Hellas Verona,34,10,7,17,40:59,-19,37
16 ,Vicenza,34,9,9,16,37:51,-14,36
17 ,SSC Napoli,34,8,12,14,35:51,-16,36
18 ,Bari,34,5,5,24,31:68,-37,20
