Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,34,18,14,2,65:32,33,50:18
2 ,Inter,34,17,12,5,59:36,23,46:22
3 ,AC Parma,34,16,9,9,47:34,13,41:27
4 ,Juventus,34,15,9,10,59:47,12,39:29
5 ,Lazio,34,13,12,9,65:51,14,38:30
6 ,Cagliari Calcio,34,14,9,11,45:33,12,37:31
7 ,Atalanta,34,14,8,12,42:44,-2,36:32
8 ,Sampdoria,34,12,12,10,50:48,2,36:32
9 ,Torino,34,9,17,8,38:38,0,35:33
10 ,AS Roma,34,8,17,9,42:39,3,33:35
11 ,SSC Napoli,34,10,12,12,49:50,-1,32:36
12 ,Foggia,34,10,12,12,39:55,-16,32:36
13 ,Genoa,34,7,17,10,41:55,-14,31:37
14 ,Brescia,34,9,12,13,36:44,-8,30:38
15 ,Udinese Calcio,34,10,10,14,42:48,-6,30:38
16 ,Fiorentina,34,8,14,12,53:56,-3,30:38
17 ,Ancona,34,6,7,21,39:73,-34,19:49
18 ,Pescara,34,6,5,23,47:75,-28,17:51
