Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,23,8,3,54:21,33,54:14
2 ,Bologna,34,22,10,2,54:18,36,54:14
3 ,Milan,34,21,9,4,58:28,30,51:17
4 ,Fiorentina,34,14,10,10,43:27,16,38:30
5 ,Juventus,34,14,10,10,49:37,12,38:30
6 ,Vicenza,34,13,10,11,34:36,-2,36:32
7 ,AC Torino,34,9,17,8,32:32,0,35:33
8 ,Catania,34,9,12,13,32:44,-12,30:38
9 ,Atalanta,34,7,16,11,26:43,-17,30:38
10 ,Genoa,34,10,10,14,33:34,-1,30:38
11 ,Lazio,34,9,12,13,21:24,-3,30:38
12 ,Mantova,34,6,17,11,28:39,-11,29:39
13 ,AS Roma,34,9,11,14,43:44,-1,29:39
14 ,Messina,34,9,10,15,25:46,-21,28:40
15 ,Modena,34,6,15,13,29:42,-13,27:41
16 ,Sampdoria,34,10,7,17,38:50,-12,27:41
17 ,SPAL,34,6,12,16,28:39,-11,24:44
18 ,Bari,34,6,10,18,20:43,-23,22:46
