Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,38,24,10,4,75:34,41,82
2 ,AS Roma,38,24,8,6,68:41,27,80
3 ,AC Milan,38,20,10,8,60:39,21,70
4 ,Sampdoria,38,19,10,9,49:41,8,67
5 ,US Palermo,38,18,11,9,59:47,12,65
6 ,SSC Napoli,38,15,14,9,50:43,7,59
7 ,Juventus,38,16,7,15,55:56,-1,55
8 ,Parma,38,14,10,14,46:51,-5,52
9 ,Genoa,38,14,9,15,57:61,-4,51
10 ,Bari,38,13,11,14,49:49,0,50
11 ,Fiorentina,38,13,8,17,48:47,1,47
12 ,Lazio,38,11,13,14,39:43,-4,46
13 ,Catania,38,10,15,13,44:45,-1,45
14 ,Chievo Verona,38,12,8,18,37:42,-5,44
15 ,Udinese,38,11,11,16,54:59,-5,44
16 ,Cagliari Calcio,38,11,11,16,56:58,-2,44
17 ,Bologna,38,10,12,16,42:55,-13,42
18 ,Atalanta,38,9,8,21,37:53,-16,35
19 ,Siena,38,7,10,21,40:67,-27,31
20 ,AS Livorno,38,7,8,23,27:61,-34,29
