Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,18,9,3,45:22,23,45:15
2 ,Milan,30,18,8,4,65:33,32,44:16
3 ,Lazio,30,16,11,3,33:16,17,43:17
4 ,Inter,30,15,7,8,32:23,9,37:23
5 ,Fiorentina,30,16,5,9,39:26,13,37:23
6 ,AC Torino,30,11,9,10,33:21,12,31:29
7 ,Bologna,30,11,9,10,33:31,2,31:29
8 ,Cagliari Calcio,30,9,11,10,26:28,-2,29:31
9 ,SSC Napoli,30,7,14,9,18:20,-2,28:32
10 ,Hellas Verona,30,5,16,9,28:34,-6,26:34
11 ,AS Roma,30,6,12,12,23:28,-5,24:36
12 ,Vicenza,30,7,10,13,15:31,-16,24:36
13 ,Sampdoria,30,5,14,11,16:25,-9,24:36
14 ,Atalanta,30,5,14,11,16:33,-17,24:36
15 ,Palermo,30,3,11,16,13:41,-28,17:43
16 ,Ternana,30,3,10,17,14:37,-23,16:44
