Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,26,8,4,98:34,64,60:16
2 ,AC Milan,38,20,13,5,87:41,46,53:23
3 ,Inter,38,21,7,10,86:49,37,49:27
4 ,Lazio,38,15,13,10,60:49,11,43:33
5 ,Fiorentina,38,17,9,12,52:38,14,43:33
6 ,Napoli,38,17,8,13,64:44,20,42:34
7 ,Sampdoria,38,16,9,13,48:40,8,41:35
8 ,Novara,38,16,8,14,62:62,0,40:36
9 ,SPAL,38,12,13,13,52:50,2,37:39
10 ,Pro Patria,38,12,13,13,47:62,-15,37:39
11 ,Palermo,38,11,14,13,43:51,-8,36:40
12 ,Atalanta,38,13,8,17,54:61,-7,34:42
13 ,Como,38,15,4,19,53:70,-17,34:42
14 ,Udinese,38,11,12,15,43:62,-19,34:42
15 ,AC Torino,38,12,10,16,39:58,-19,34:42
16 ,Bologna,38,11,11,16,45:55,-10,33:43
17 ,Triestina,38,11,10,17,47:68,-21,32:44
18 ,Lucchese,38,11,10,17,39:49,-10,32:44
19 ,Padova,38,10,9,19,45:73,-28,29:47
20 ,Legnano,38,4,9,25,37:85,-48,17:59
