Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,17,14,3,51:24,27,65
2 ,AC Parma,34,18,9,7,41:26,15,63
3 ,Inter,34,15,14,5,51:35,16,59
4 ,Lazio,34,15,10,9,54:37,17,55
5 ,Udinese,34,15,9,10,53:41,12,54
6 ,Sampdoria,34,14,11,9,60:46,14,53
7 ,Bologna,34,13,10,11,50:44,6,49
8 ,Vicenza,34,12,11,11,43:38,5,47
9 ,Fiorentina,34,10,15,9,46:41,5,45
10 ,Atalanta,34,11,11,12,44:46,-2,44
11 ,Milan,34,11,10,13,43:45,-2,43
12 ,AS Roma,34,10,11,13,46:47,-1,41
13 ,SSC Napoli,34,9,14,11,38:45,-7,41
14 ,Cagliari Calcio,34,9,10,15,45:55,-10,37
15 ,Piacenza,34,7,16,11,29:45,-16,37
16 ,Perugia,34,10,7,17,48:62,-14,37
17 ,Hellas Verona,34,6,9,19,38:64,-26,27
18 ,Reggiana,34,2,13,19,28:67,-39,19
