Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Bologna,30,16,10,4,53:31,22,42:18
2 ,AC Torino,30,14,10,6,45:34,11,38:22
3 ,Ambrosiana-Inter,30,14,9,7,55:37,18,37:23
4 ,Genova,30,14,7,9,53:30,23,35:25
5 ,Liguria,30,12,7,11,35:34,1,31:29
6 ,Napoli,30,10,11,9,30:35,-5,31:29
7 ,AS Roma,30,14,3,13,39:35,4,31:29
8 ,Juventus,30,8,13,9,28:34,-6,29:31
9 ,Milano,30,10,8,12,36:34,2,28:32
10 ,Lazio,30,11,6,13,33:40,-7,28:32
11 ,Bari,30,9,9,12,33:46,-13,27:33
12 ,Novara,30,9,8,13,27:32,-5,26:34
13 ,Modena,30,8,9,13,32:40,-8,25:35
14 ,Triestina,30,7,10,13,23:28,-5,24:36
15 ,Lucchese,30,7,10,13,31:54,-23,24:36
16 ,Livorno,30,9,6,15,40:49,-9,24:36
