Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Sampdoria,34,20,11,3,57:24,33,51:17
2 ,Milan,34,18,10,6,46:19,27,46:22
3 ,Inter,34,18,10,6,56:31,25,46:22
4 ,Genoa,34,14,12,8,51:36,15,40:28
5 ,Torino,34,12,14,8,40:29,11,38:30
6 ,AC Parma,34,13,12,9,35:31,4,38:30
7 ,Juventus,34,13,11,10,45:32,13,37:31
8 ,SSC Napoli,34,11,15,8,37:37,0,37:31
9 ,AS Roma,34,11,14,9,43:37,6,36:32
10 ,Atalanta,34,11,13,10,38:37,1,35:33
11 ,Lazio,34,8,19,7,33:36,-3,35:33
12 ,Fiorentina,34,8,15,11,40:34,6,31:37
13 ,Bari,34,9,11,14,41:47,-6,29:39
14 ,Cagliari Calcio,34,6,17,11,29:44,-15,29:39
15 ,Lecce,34,6,13,15,20:47,-27,25:43
16 ,AC Pisa,34,8,6,20,34:60,-26,22:46
17 ,Cesena,34,5,9,20,28:58,-30,19:49
18 ,Bologna,34,4,10,20,29:63,-34,18:50
