Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,38,25,9,4,70:32,38,84
2 ,Juventus,38,21,11,6,69:37,32,74
3 ,AC Milan,38,22,8,8,70:35,35,74
4 ,Fiorentina,38,21,5,12,53:38,15,68
5 ,Genoa,38,19,11,8,56:39,17,68
6 ,AS Roma,38,18,9,11,64:61,3,63
7 ,Udinese,38,16,10,12,61:50,11,58
8 ,US Palermo,38,17,6,15,57:50,7,57
9 ,Cagliari Calcio,38,15,8,15,49:50,-1,53
10 ,Lazio,38,15,5,18,46:55,-9,50
11 ,Atalanta,38,13,8,17,45:48,-3,47
12 ,SSC Napoli,38,12,10,16,43:45,-2,46
13 ,Sampdoria,38,11,13,14,49:52,-3,46
14 ,Siena,38,12,8,18,33:44,-11,44
15 ,Catania,38,12,7,19,41:51,-10,43
16 ,Chievo Verona,38,8,14,16,35:49,-14,38
17 ,Bologna,38,9,10,19,43:62,-19,37
18 ,Torino,38,8,10,20,37:61,-24,34
19 ,Reggina,38,6,13,19,30:62,-32,31
20 ,Lecce,38,5,15,18,37:67,-30,30
