Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Fiorentina,34,20,13,1,59:20,39,53:15
2 ,AC Milan,34,16,9,9,70:48,22,41:27
3 ,Lazio,34,14,11,9,54:46,8,39:29
4 ,Inter,34,16,7,11,57:36,21,39:29
5 ,Bologna,34,15,7,12,68:52,16,37:31
6 ,Sampdoria,34,12,11,11,51:54,-3,35:33
7 ,AS Roma,34,11,13,10,43:40,3,35:33
8 ,Padova,34,14,6,14,41:43,-2,34:34
9 ,Vicenza,34,10,13,11,31:40,-9,33:35
10 ,SPAL,34,10,13,11,40:39,1,33:35
11 ,AC Torino,34,12,9,13,43:45,-2,33:35
12 ,Juventus,34,8,17,9,32:37,-5,33:35
13 ,Genoa,34,12,9,13,50:52,-2,33:35
14 ,Napoli,34,10,12,12,46:49,-3,32:36
15 ,Atalanta,34,11,9,14,50:55,-5,31:37
16 ,Triestina,34,10,10,14,27:44,-17,30:38
17 ,Novara,34,8,10,16,45:51,-6,26:42
18 ,Pro Patria,34,3,9,22,31:87,-56,15:53
