Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,15,14,1,46:17,29,44:16
2 ,Vicenza,30,14,11,5,50:34,16,39:21
3 ,Torino,30,14,11,5,36:23,13,39:21
4 ,Milan,30,12,13,5,38:25,13,37:23
5 ,Inter,30,13,10,7,35:24,11,36:24
6 ,Perugia,30,10,10,10,36:35,1,30:30
7 ,SSC Napoli,30,8,14,8,35:31,4,30:30
8 ,AS Roma,30,8,12,10,31:34,-3,28:32
9 ,Atalanta,30,6,15,9,28:32,-4,27:33
10 ,Bologna,30,7,12,11,21:32,-11,26:34
11 ,Hellas Verona,30,6,14,10,25:30,-5,26:34
12 ,Lazio,30,8,10,12,31:38,-7,26:34
13 ,Genoa,30,5,15,10,23:33,-10,25:35
14 ,Foggia,30,8,9,13,28:43,-15,25:35
15 ,Fiorentina,30,7,11,12,28:37,-9,25:35
16 ,Pescara,30,4,9,17,21:44,-23,17:43
