Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,17,9,4,57:29,28,43:17
2 ,AS Roma,30,15,11,4,48:28,20,41:19
3 ,Fiorentina,30,12,12,6,48:31,17,36:24
4 ,Inter,30,12,11,7,37:23,14,35:25
5 ,Torino,30,11,11,8,37:30,7,33:27
6 ,Milan,30,10,12,8,37:40,-3,32:28
7 ,Sampdoria,30,12,8,10,36:30,6,32:28
8 ,Hellas Verona,30,12,8,10,43:35,8,32:28
9 ,Udinese Calcio,30,11,9,10,47:40,7,31:29
10 ,Ascoli,30,9,11,10,29:35,-6,29:31
11 ,SSC Napoli,30,7,12,11,28:38,-10,26:34
12 ,Avellino,30,9,8,13,33:39,-6,26:34
13 ,Lazio,30,8,9,13,35:49,-14,25:35
14 ,Genoa,30,6,13,11,24:36,-12,25:35
15 ,AC Pisa,30,3,16,11,20:35,-15,22:38
16 ,Catania,30,1,10,19,14:55,-41,12:48
