Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,23,4,7,59:32,27,73
2 ,AC Parma,34,18,9,7,51:31,20,63
3 ,Lazio,34,19,6,9,69:34,35,63
4 ,Milan,34,17,9,8,53:32,21,60
5 ,AS Roma,34,16,11,7,46:25,21,59
6 ,Inter,34,14,10,10,39:34,5,52
7 ,SSC Napoli,34,13,12,9,40:45,-5,51
8 ,Sampdoria,34,13,11,10,51:37,14,50
9 ,Cagliari Calcio,34,13,10,11,40:39,1,49
10 ,Fiorentina,34,12,11,11,61:57,4,47
11 ,Torino,34,12,9,13,44:48,-4,45
12 ,Bari,34,12,8,14,40:43,-3,44
13 ,Cremonese,34,11,8,15,35:38,-3,41
14 ,Genoa,34,10,10,14,34:49,-15,40
15 ,Padova,34,12,4,18,37:58,-21,40
16 ,Foggia,34,8,10,16,32:50,-18,34
17 ,Reggiana,34,4,6,24,24:56,-32,18
18 ,Brescia,34,2,6,26,18:65,-47,12
