Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,28,6,4,100:43,57,62:14
2 ,AC Milan,38,27,3,8,118:45,73,57:19
3 ,Inter,38,21,7,10,99:60,39,49:27
4 ,Lazio,38,18,10,10,67:43,24,46:30
5 ,Fiorentina,38,18,8,12,76:57,19,44:32
6 ,AC Torino,38,17,7,14,80:76,4,41:35
7 ,Como,38,15,11,12,59:59,0,41:35
8 ,Atalanta,38,17,6,15,66:60,6,40:36
9 ,Triestina,38,14,12,12,50:59,-9,40:36
10 ,Padova,38,13,9,16,61:65,-4,35:41
11 ,Pro Patria,38,11,12,15,50:61,-11,34:42
12 ,Genoa,38,13,8,17,45:64,-19,34:42
13 ,Sampdoria,38,13,7,18,62:70,-8,33:43
14 ,Palermo,38,13,7,18,47:64,-17,33:43
15 ,Bologna,38,8,16,14,54:63,-9,32:44
16 ,Lucchese,38,11,10,17,65:79,-14,32:44
17 ,AS Roma,38,12,7,19,52:70,-18,31:45
18 ,Novara,38,11,9,18,51:64,-13,31:45
19 ,Bari,38,11,7,20,38:74,-36,29:47
20 ,AC Venezia,38,5,6,27,25:89,-64,16:60
