Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,26,6,2,67:19,48,58:10
2 ,SSC Napoli,34,18,11,5,57:28,29,47:21
3 ,Milan,34,16,14,4,61:25,36,46:22
4 ,Juventus,34,15,13,6,51:36,15,43:25
5 ,Sampdoria,34,14,11,9,43:25,18,39:29
6 ,Atalanta,34,11,14,9,37:32,5,36:32
7 ,AS Roma,34,11,12,11,33:40,-7,34:34
8 ,Fiorentina,34,12,10,12,44:43,1,34:34
9 ,Lecce,34,8,15,11,25:35,-10,31:37
10 ,Cesena,34,8,13,13,24:39,-15,29:39
11 ,Ascoli,34,9,11,14,30:41,-11,29:39
12 ,Lazio,34,5,19,10,23:32,-9,29:39
13 ,Bologna,34,8,13,13,26:43,-17,29:39
14 ,Hellas Verona,34,5,19,10,18:27,-9,29:39
15 ,Pescara,34,5,17,12,28:43,-15,27:41
16 ,Torino,34,8,11,15,37:49,-12,27:41
17 ,AC Pisa,34,6,11,17,17:39,-22,23:45
18 ,Como,34,6,10,18,24:49,-25,22:46
