Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,30,18,10,2,53:24,29,46:14
2 ,SSC Napoli,30,13,11,6,34:24,10,37:23
3 ,Juventus,30,13,10,7,33:29,4,36:24
4 ,Fiorentina,30,13,9,8,35:23,12,35:25
5 ,Inter,30,13,7,10,46:34,12,33:27
6 ,Bologna,30,11,11,8,30:23,7,33:27
7 ,AC Torino,30,12,8,10,44:31,13,32:28
8 ,Varese,30,12,8,10,28:27,1,32:28
9 ,US Cagliari,30,12,7,11,44:38,6,31:29
10 ,Sampdoria,30,6,15,9,27:34,-7,27:33
11 ,AS Roma,30,7,13,10,25:35,-10,27:33
12 ,Vicenza,30,8,9,13,22:30,-8,25:35
13 ,Atalanta,30,10,5,15,26:42,-16,25:35
14 ,SPAL,30,10,2,18,24:38,-14,22:38
15 ,Brescia,30,8,6,16,20:35,-15,22:38
16 ,Mantova,30,3,11,16,13:37,-24,17:43
