Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AS Roma,30,16,10,4,55:21,34,42:18
2 ,AC Torino,30,16,7,7,60:39,21,39:21
3 ,AC Venezia,30,15,8,7,40:25,15,38:22
4 ,Lazio,30,14,9,7,55:37,18,37:23
5 ,Genova,30,13,11,6,53:35,18,37:23
6 ,Juventus,30,12,8,10,47:41,6,32:28
7 ,Bologna,30,12,5,13,50:37,13,29:31
8 ,Triestina,30,8,13,9,29:32,-3,29:31
9 ,Fiorentina,30,11,5,14,51:50,1,27:33
10 ,Milano,30,10,7,13,53:53,0,27:33
11 ,Liguria,30,10,7,13,39:56,-17,27:33
12 ,Ambrosiana-Inter,30,7,12,11,31:47,-16,26:34
13 ,Atalanta,30,8,8,14,34:47,-13,24:36
14 ,Livorno,30,9,6,15,35:57,-22,24:36
15 ,Napoli,30,8,7,15,32:51,-19,23:37
16 ,Modena,30,6,7,17,23:59,-36,19:41
