Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,34,19,12,3,36:15,21,50:18
2 ,Juventus,34,17,13,4,58:25,33,47:21
3 ,Lazio,34,17,10,7,55:40,15,44:24
4 ,Sampdoria,34,18,8,8,64:39,25,44:24
5 ,AC Parma,34,17,7,10,50:35,15,41:27
6 ,SSC Napoli,34,12,12,10,41:35,6,36:32
7 ,AS Roma,34,10,15,9,35:30,5,35:33
8 ,Torino,34,11,12,11,39:37,2,34:34
9 ,Foggia,34,10,13,11,46:46,0,33:35
10 ,Genoa,34,8,16,10,32:40,-8,32:36
11 ,Cremonese,34,9,14,11,41:41,0,32:36
12 ,Cagliari Calcio,34,10,12,12,39:48,-9,32:36
13 ,Reggiana,34,10,11,13,29:37,-8,31:37
14 ,Inter,34,11,9,14,46:45,1,31:37
15 ,Piacenza,34,8,14,12,32:43,-11,30:38
16 ,Udinese,34,7,14,13,35:48,-13,28:40
17 ,Atalanta,34,5,11,18,35:65,-30,21:47
18 ,Lecce,34,3,5,26,28:72,-44,11:57
