Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Milan,38,26,8,4,107:39,68,60:16
2 ,Inter,38,27,5,6,107:43,64,59:17
3 ,Juventus,38,23,8,7,103:44,59,54:22
4 ,Lazio,38,18,10,10,64:50,14,46:30
5 ,Fiorentina,38,18,8,12,52:42,10,44:32
6 ,Napoli,38,15,11,12,57:52,5,41:35
7 ,Bologna,38,16,9,13,61:59,2,41:35
8 ,Como,38,18,4,16,56:66,-10,40:36
9 ,Udinese,38,11,13,14,46:61,-15,35:41
10 ,Palermo,38,14,6,18,59:67,-8,34:42
11 ,Pro Patria,38,14,6,18,47:74,-27,34:42
12 ,Novara,38,13,7,18,56:67,-11,33:43
13 ,Sampdoria,38,12,9,17,51:76,-25,33:43
14 ,Atalanta,38,10,12,16,48:69,-21,32:44
15 ,Lucchese,38,11,8,19,44:53,-9,30:46
16 ,AC Torino,38,9,12,17,46:69,-23,30:46
17 ,Triestina,38,10,10,18,45:67,-22,30:46
18 ,Padova,38,12,5,21,49:68,-19,29:47
19 ,AS Roma,38,10,8,20,48:54,-6,28:48
20 ,Genoa,38,9,9,20,46:72,-26,27:49
