Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Torino,40,29,7,4,125:33,92,65:15
2 ,Triestina,40,17,15,8,51:42,9,49:31
3 ,AC Milan,40,21,7,12,76:48,28,49:31
4 ,Juventus,40,19,11,10,74:48,26,49:31
5 ,Modena,40,16,12,12,45:40,5,44:36
6 ,Atalanta,40,16,12,12,48:41,7,44:36
7 ,Fiorentina,40,18,5,17,49:55,-6,41:39
8 ,Pro Patria,40,17,6,17,65:66,-1,40:40
9 ,Bologna,40,14,12,14,51:52,-1,40:40
10 ,Lazio,40,13,13,14,54:55,-1,39:41
11 ,Bari,40,14,10,16,38:60,-22,38:42
12 ,Inter,40,16,5,19,67:60,7,37:43
13 ,Genoa,40,15,7,18,68:65,3,37:43
14 ,Livorno,40,11,14,15,45:62,-17,36:44
15 ,Sampdoria,40,13,10,17,68:63,5,36:44
16 ,Lucchese,40,12,12,16,46:82,-36,36:44
17 ,AS Roma,40,13,9,18,54:69,-15,35:45
18 ,Napoli,40,12,10,18,50:46,4,34:46
19 ,Salernitana,40,13,8,19,46:63,-17,34:46
20 ,Alessandria,40,11,9,20,49:75,-26,31:49
21 ,AC Vicenza,40,10,6,24,31:75,-44,26:54
