Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,SSC Napoli,30,15,12,3,41:21,20,42:18
2 ,Juventus,30,14,11,5,42:27,15,39:21
3 ,Inter,30,15,8,7,32:17,15,38:22
4 ,Hellas Verona,30,12,12,6,36:25,11,36:24
5 ,Sampdoria,30,13,9,8,37:21,16,35:25
6 ,Milan,30,13,9,8,31:21,10,35:25
7 ,AS Roma,30,12,9,9,37:31,6,33:27
8 ,Avellino,30,9,12,9,31:38,-7,30:30
9 ,Torino,30,8,10,12,26:32,-6,26:34
10 ,Como,30,5,16,9,16:20,-4,26:34
11 ,Fiorentina,30,8,10,12,30:35,-5,26:34
12 ,Ascoli,30,7,10,13,18:33,-15,24:36
13 ,FC Empoli,30,8,7,15,13:33,-20,23:37
14 ,Brescia,30,7,8,15,25:35,-10,22:38
15 ,Atalanta,30,7,7,16,22:32,-10,21:39
16 ,Udinese Calcio,30,6,12,12,25:41,-16,15:27
