Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Lazio,30,18,7,5,45:23,22,43:17
2 ,Juventus,30,16,9,5,50:26,24,41:19
3 ,SSC Napoli,30,12,12,6,35:28,7,36:24
4 ,Inter,30,12,11,7,47:33,14,35:25
5 ,AC Torino,30,10,14,6,27:24,3,34:26
6 ,Fiorentina,30,10,13,7,32:26,6,33:27
7 ,Milan,30,11,8,11,34:36,-2,30:30
8 ,AS Roma,30,10,9,11,29:28,1,29:31
9 ,Bologna,30,6,17,7,35:36,-1,29:31
10 ,Cagliari Calcio,30,7,14,9,25:32,-7,28:32
11 ,Cesena,30,6,15,9,25:28,-3,27:33
12 ,Vicenza,30,7,12,11,22:37,-15,26:34
13 ,Sampdoria,30,5,13,12,27:34,-7,23:37
14 ,Foggia,30,6,12,12,20:34,-14,18:30
15 ,Genoa,30,4,9,17,16:37,-21,17:43
16 ,Hellas Verona,30,8,9,13,28:35,-7,0:10
