Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,29,4,5,77:27,50,91
2 ,AS Roma,38,28,3,7,90:38,52,87
3 ,SSC Napoli,38,26,8,4,94:39,55,86
4 ,Atalanta,38,21,9,8,62:41,21,72
5 ,Lazio,38,21,7,10,74:51,23,70
6 ,AC Milan,38,18,9,11,57:45,12,63
7 ,Inter,38,19,5,14,72:49,23,62
8 ,Fiorentina,38,16,12,10,63:57,6,60
9 ,Torino,38,13,14,11,71:66,5,53
10 ,Sampdoria,38,12,12,14,49:55,-6,48
11 ,Cagliari Calcio,38,14,5,19,55:76,-21,47
12 ,Sassuolo,38,13,7,18,58:63,-5,46
13 ,Udinese Calcio,38,12,9,17,47:56,-9,45
14 ,Chievo Verona,38,12,7,19,43:61,-18,43
15 ,Bologna,38,11,8,19,40:58,-18,41
16 ,Genoa,38,9,9,20,38:64,-26,36
17 ,Crotone,38,9,7,22,34:58,-24,34
18 ,FC Empoli,38,8,8,22,29:61,-32,32
19 ,US Palermo,38,6,8,24,33:77,-44,26
20 ,Pescara,38,3,9,26,37:81,-44,18
