Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,25,5,4,79:37,42,55:13
2 ,AS Roma,34,22,7,5,87:31,56,51:17
3 ,Bologna,34,21,6,7,81:33,48,48:20
4 ,Genova,34,22,3,9,58:47,11,47:21
5 ,Ambrosiana,34,15,8,11,60:45,15,38:30
6 ,Napoli,34,18,1,15,54:49,5,37:31
7 ,Torino,34,14,8,12,52:43,9,36:32
8 ,Lazio,34,15,5,14,45:44,1,35:33
9 ,Brescia,34,13,8,13,51:55,-4,34:34
10 ,Pro Vercelli,34,13,7,14,60:60,0,33:35
11 ,Modena,34,14,5,15,61:66,-5,33:35
12 ,Milan,34,12,7,15,48:53,-5,31:37
13 ,Alessandria,34,10,6,18,52:67,-15,26:42
14 ,Triestina,34,8,9,17,32:55,-23,25:43
15 ,Pro Patria,34,8,7,19,37:61,-24,23:45
16 ,Casale,34,8,5,21,31:64,-33,21:47
17 ,Livorno,34,6,8,20,34:71,-37,20:48
18 ,Legnano,34,6,7,21,30:71,-41,19:49
