Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,34,25,7,2,65:24,41,82
2 ,AS Roma,34,21,8,5,68:19,49,71
3 ,Juventus,34,21,6,7,67:42,25,69
4 ,Inter,34,17,8,9,59:37,22,59
5 ,AC Parma,34,16,10,8,57:46,11,58
6 ,Lazio,34,16,8,10,52:38,14,56
7 ,Udinese,34,13,11,10,44:40,4,50
8 ,Sampdoria,34,11,13,10,40:42,-2,46
9 ,Chievo Verona,34,11,11,12,36:37,-1,44
10 ,Lecce,34,11,8,15,43:56,-13,41
11 ,Brescia,34,9,13,12,52:57,-5,40
12 ,Bologna,34,10,9,15,45:53,-8,39
13 ,Reggina,34,6,16,12,29:45,-16,34
14 ,Siena,34,8,10,16,41:54,-13,34
15 ,Perugia,34,6,14,14,44:56,-12,32
16 ,Modena,34,6,12,16,27:46,-19,30
17 ,FC Empoli,34,7,9,18,26:54,-28,30
18 ,Ancona,34,2,7,25,21:70,-49,13
