Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,30,17,10,3,46:19,27,44:16
2 ,Perugia,30,11,19,0,34:16,18,41:19
3 ,Juventus,30,12,13,5,40:23,17,37:23
4 ,Inter,30,10,16,4,38:24,14,36:24
5 ,Torino,30,11,14,5,35:23,12,36:24
6 ,Fiorentina,30,10,12,8,26:26,0,32:28
7 ,SSC Napoli,30,9,14,7,23:21,2,32:28
8 ,Lazio,30,9,11,10,35:40,-5,29:31
9 ,Catanzaro,30,6,16,8,23:30,-7,28:32
10 ,AS Roma,30,8,10,12,24:32,-8,26:34
11 ,Avellino,30,6,14,10,19:26,-7,26:34
12 ,Ascoli,30,7,12,11,26:31,-5,26:34
13 ,Bologna,30,4,16,10,23:30,-7,24:36
14 ,Atalanta,30,6,12,12,20:33,-13,24:36
15 ,Vicenza,30,5,14,11,29:42,-13,24:36
16 ,Hellas Verona,30,2,11,17,14:39,-25,15:45
