Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,34,21,10,3,60:24,36,73
2 ,Juventus,34,19,8,7,58:35,23,65
3 ,Lazio,34,17,8,9,66:38,28,59
4 ,Fiorentina,34,17,8,9,53:41,12,59
5 ,AS Roma,34,16,10,8,51:34,17,58
6 ,AC Parma,34,16,10,8,44:31,13,58
7 ,Inter,34,15,9,10,51:30,21,54
8 ,Sampdoria,34,14,10,10,59:47,12,52
9 ,Vicenza,34,13,10,11,36:37,-1,49
10 ,Cagliari Calcio,34,11,8,15,34:47,-13,41
11 ,Udinese,34,11,8,15,41:49,-8,41
12 ,SSC Napoli,34,10,11,13,28:41,-13,41
13 ,Atalanta,34,11,6,17,38:50,-12,39
14 ,Piacenza,34,9,10,15,31:48,-17,37
15 ,Bari,34,8,8,18,49:71,-22,32
16 ,Torino,34,6,11,17,28:46,-18,29
17 ,Cremonese,34,5,12,17,37:57,-20,27
18 ,Padova,34,7,3,24,41:79,-38,24
