Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,34,24,5,5,83:36,47,53:15
2 ,Inter,34,19,10,5,59:31,28,48:20
3 ,Fiorentina,34,19,8,7,57:32,25,46:22
4 ,Bologna,34,19,7,8,57:41,16,45:23
5 ,AS Roma,34,18,8,8,61:35,26,44:24
6 ,Atalanta,34,13,12,9,39:38,1,38:30
7 ,AC Torino,34,12,12,10,42:40,2,36:32
8 ,Palermo,34,13,9,12,30:35,-5,35:33
9 ,Mantova,34,12,8,14,42:42,0,32:36
10 ,Sampdoria,34,9,12,13,32:40,-8,30:38
11 ,Catania,34,9,12,13,30:45,-15,30:38
12 ,AC Venezia,34,8,13,13,35:41,-6,29:39
13 ,Juventus,34,10,9,15,48:56,-8,29:39
14 ,Vicenza,34,8,11,15,29:43,-14,27:41
15 ,SPAL,34,9,9,16,30:50,-20,27:41
16 ,Padova,34,7,9,18,29:49,-20,23:45
17 ,Lecco,34,6,11,17,30:53,-23,23:45
18 ,Udinese,34,6,5,23,37:63,-26,17:51
