Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,30,14,13,3,44:25,19,41:19
2 ,Juventus,30,16,6,8,42:25,17,38:22
3 ,Torino,30,11,13,6,26:15,11,35:25
4 ,Ascoli,30,11,12,7,35:28,7,34:26
5 ,Fiorentina,30,11,11,8,33:27,6,33:27
6 ,AS Roma,30,10,12,8,34:35,-1,32:28
7 ,Perugia,30,9,12,9,27:32,-5,30:30
8 ,Cagliari Calcio,30,8,14,8,27:29,-2,30:30
9 ,Bologna,30,8,14,8,23:24,-1,30:30
10 ,SSC Napoli,30,7,14,9,20:20,0,28:32
11 ,Avellino,30,7,13,10,24:32,-8,27:33
12 ,Catanzaro,30,5,14,11,20:34,-14,24:36
13 ,Udinese Calcio,30,3,15,12,24:38,-14,21:39
14 ,Pescara,30,4,8,18,18:44,-26,16:44
15 ,Milan,30,14,8,8,34:19,15,0:-12
16 ,Lazio,30,5,15,10,21:25,-4,0:10
