Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Man Utd,42,24,12,6,67:31,36,84
2,Aston Villa,42,21,11,10,57:40,17,74
3,Norwich,42,21,9,12,61:65,-4,72
4,Blackburn,42,20,11,11,68:46,22,71
5,QPR,42,17,12,13,63:55,8,63
6,Liverpool,42,16,11,15,62:55,7,59
7,Sheff Wed,42,15,14,13,55:51,4,59
8,Spurs,42,16,11,15,60:66,-6,59
9,Man City,42,15,12,15,56:51,5,57
10,Arsenal,42,15,11,16,40:38,2,56
11,Chelsea,42,14,14,14,51:54,-3,56
12,Wimbledon FC,42,14,12,16,56:55,1,54
13,Everton,42,15,8,19,53:55,-2,53
14,Sheffield Utd.,42,14,10,18,54:53,1,52
15,Coventry,42,13,13,16,52:57,-5,52
16,Ipswich,42,12,16,14,50:55,-5,52
17,Leeds,42,12,15,15,57:62,-5,51
18,Southampton,42,13,11,18,54:61,-7,50
19,Oldham Athletic,42,13,10,19,63:74,-11,49
20,Crystal Palace,42,11,16,15,48:61,-13,49
21,Middlesbrough,42,11,11,20,54:75,-21,44
22,Nottm Forest,42,10,10,22,41:62,-21,40
